ID,Priority,Feature,Status,Source implementation,Test command,Runtime evidence,OS tested,Error/limitation,Recommended fix,Estimated implementation complexity
DX-09,P1,Java debugging,PARTIAL,"JDeskDevTask supports supervised JVM arguments","Source review and build tests","No debugger attach session performed","macOS 26.5.1 arm64","Not live verified","Document JDWP workflow and automate attach smoke",M
DX-10,P0,jdesk build CLI,NOT_IMPLEMENTED,"CLI implements create only","jdesk build","exit 2 unknown command","macOS 26.5.1 arm64","Gradle build exists but requested CLI command does not","Add CLI delegation or correct docs",M
DX-11,P0,jdesk bundle CLI,NOT_IMPLEMENTED,"CLI implements create only","jdesk bundle","exit 2 unknown command","macOS 26.5.1 arm64","Gradle packaging exists but requested CLI command does not","Add bundle command",M
IPC-01,P0,Real native IPC bridge,PASS,"runtime IPC plus MacWebView WKScriptMessageHandler","native-smoke run","evidence/native-smoke/1783750977-ce1864bd16d726a0; 21/21","macOS 26.5.1 arm64","Only macOS tested at current worktree","Repeat on Windows and Linux current SHA",L
IPC-02,P0,Record and nested DTO,PARTIAL,"JacksonJsonCodec and codegen record support","native-smoke typed echo","Echo records passed; full primitive/null/list/map/enum/nested corpus not live-tested","macOS 26.5.1 arm64","Coverage incomplete","Add live serialization matrix",M
IPC-03,P0,CompletableFuture command,PASS,"CommandDispatcher asynchronous CompletionStage","native-smoke sleeping/echo commands","typed echo and cancellation passed through WKWebView","macOS 26.5.1 arm64","Synchronous-return command not separately live-tested","Add sync/async pair probe",S
IPC-04,P0,Structured error and timeout/cancellation,PARTIAL,"CommandDispatcher error envelopes and cancellation","native-smoke; security-probe","CANCELLED UNKNOWN_COMMAND CAPABILITY_DENIED INTERNAL_ERROR observed","macOS 26.5.1 arm64","Timeout not live-observed separately","Add timeout and race probe",M
IPC-05,P0,Bidirectional events,PARTIAL,"EventQueue/EventEmitter; JS bridge","native-smoke","Java-to-JS event passed","macOS 26.5.1 arm64","JS-to-Java event API not demonstrated","Implement/test both directions",M
IPC-06,P0,10000 IPC stress,PARTIAL,"native-smoke stress mode","native-smoke -PjdeskStress=true","10000 round trips; 0 mismatch; 530 ms","macOS 26.5.1 arm64","No p50/p95/p99; sequential/concurrent split absent","Instrument per-request latency and throughput",M
IPC-07,P0,Multi-window routing,PARTIAL,"JDeskRuntime per-window sessions","native/security probes","25 create/close cycles and second navigation passed","macOS 26.5.1 arm64","Simultaneous multi-window event isolation not tested","Add concurrent two-window routing probe",M
IPC-08,P0,2 GB streaming/backpressure,NOT_IMPLEMENTED,"IPC envelopes bounded JSON; no streaming API found","Repository search and native probes","No runtime evidence","macOS source audit","No file stream protocol","Design chunked streaming with cancellation/backpressure",XL
IPC-09,P0,Renderer reload/crash recovery,NOT_IMPLEMENTED,"Diagnostics expose failure events only","Repository search","No crash/reload-in-flight evidence","macOS source audit","No recovery contract verified","Implement recovery/session invalidation tests",XL
WIN-01,P0,Window create/show/hide/title/bounds/close,PARTIAL,"PlatformWindow and all three adapters","native-smoke window cycles","Create/show/close observed; hide/title/bounds not exercised live","macOS 26.5.1 arm64","Only basic surface exists","Add live state assertions",M
WIN-02,P1,Focus/minimize/maximize/fullscreen/always-on-top/icon,NOT_IMPLEMENTED,"No public API or SPI methods","Repository search","No evidence","Source audit","Absent","Extend cross-platform window API/adapters",XL
NATIVE-01,P1,Menu tray dialog clipboard notification drag-drop shortcut,NOT_IMPLEMENTED,"No native feature modules/APIs","Repository search","No evidence","Source audit","Capability string examples are not implementations","Implement per-platform services with live probes",XL
NATIVE-02,P0,Single instance/deep link/external browser,NOT_IMPLEMENTED,"No public API or adapters","Repository search","No evidence","Source audit","Absent","Implement secure lifecycle/navigation integrations",XL
NATIVE-03,P1,Cookie/session persistence download/upload,NOT_IMPLEMENTED,"No exposed WebView data/download APIs","Repository search","No evidence","Source audit","Absent","Define WebView session/download APIs",XL
NATIVE-04,P1,DevTools environment gating,PARTIAL,"PlatformWebView devMode configuration","security-probe","Only config-level devMode=false assertion","macOS 26.5.1 arm64","Probe itself says engine-level check manual","Add engine-level negative/positive live test",M
SEC-01,P0,Unknown command and capability denial,PASS,"CommandDispatcher CapabilityEngine","native-smoke and security-probe","Rejected; denied handler never ran","macOS 26.5.1 arm64","Current worktree only tested on macOS","Repeat current SHA on other OSes",M
SEC-02,P0,Iframe/nonce/forged session defenses,PASS,"NavigationSession nonce rotation and capability checks","security-probe","iframe denied; stale nonce rejected; new session usable","macOS 26.5.1 arm64","Remote top-level page not loaded because navigation policy blocks it","Add explicit remote iframe/origin corpus",M
SEC-03,P0,Traversal corpus,PASS,"AssetPaths/AssetResolver","security-probe","9 traversal forms returned safe 404; canary 200","macOS 26.5.1 arm64","Windows/Linux native path semantics not tested here","Run same current SHA on each OS plus symlink live case",M
SEC-04,P0,Symlink escape,PARTIAL,"DirectoryAssetSource containment logic","unit tests only","No live native security-probe evidence","macOS 26.5.1 arm64","Mock/unit is not live PASS","Add real temp symlink probe through WebView",M
SEC-05,P0,Malformed/oversized JSON,PASS,"EnvelopeCodec and IPC limits","native-smoke and security-probe","Bridge remained alive; oversize rejected","macOS 26.5.1 arm64","Very large memory-pressure corpus not run","Add bounded fuzz live profile",M
SEC-06,P0,file URL shell injection and XSS privileged API,NOT_IMPLEMENTED,"No shell/file privileged API exists","Repository search","Cannot attack absent APIs","Source audit","Security surface absent rather than proven safe","Keep absent or add capability-gated APIs with adversarial tests",XL
SEC-07,P0,Updater signature/hash,NOT_IMPLEMENTED,"No updater module included","Repository/module search","No evidence","Source audit","Updater absent","Implement signed updater and rollback",XL
PKG-01,P0,macOS app-image and DMG build,PASS,"Gradle plugin jlink/jpackage tasks","generated basic ./gradlew jdeskPackage jdeskInstaller","logs/phase7-packaging-macos.log; exits 0; DMG 34632443 bytes","macOS 26.5.1 arm64","Unsigned and not notarized","Add signing/notarization release lane",L
PKG-02,P0,Clean-machine install/run/offline/uninstall/upgrade,BLOCKED,"DMG generated","Not run on clean VM","No clean-machine evidence","macOS build host only","No clean VM; destructive install avoided","Automate disposable VM N to N+1 lifecycle",XL
PKG-03,P0,Windows installer/WebView2 detection,BLOCKED,"Windows adapter and jpackage paths exist","Not runnable on macOS","No current-SHA Windows evidence","Not tested","Windows OS unavailable","Run on clean Windows VM without JVM",XL
PKG-04,P0,Linux installer/WebKitGTK dependency,BLOCKED,"Linux adapter and DEB path exist","Not runnable on macOS","No current-SHA Linux evidence","Not tested","Linux OS unavailable","Run clean Ubuntu VM dependency/offline tests",XL
PERF-01,P1,Startup CPU RSS latency percentiles,PARTIAL,"RssSampler and evidence","native smoke/stress","startup RSS 87.6 MB; post-stress 489.0 MB","macOS 26.5.1 arm64","No cold/warm startup CPU idle or percentiles","Add benchmark harness and thresholds",L
PERF-02,P1,100 window cycles and 8-hour soak,PARTIAL,"stress probe","native-smoke stress","25/25 cycles only","macOS 26.5.1 arm64","100 cycles and 8-hour soak not run","Expand stress and scheduled soak",L
PERF-03,P1,App/installer size,PASS,"jlink/jpackage output","du/stat generated output","runtime 82M app 86M DMG 33M/34632443 bytes","macOS 26.5.1 arm64","One generated basic app only","Track release baselines",S
